Name	Position	Nationality	Scrabble Score
Allan Souza	Midfielder	Brazil	19
Daniel Amartey	Midfielder	Ghana	19
Ethan Ampadu	Defender	Wales	19
Adam Armstrong	Forward	England	19
Lewis Baker	Midfielder	England	19
Ben Barclay	Defender	England	19
Danny Batth	Defender	England	19
Joe Bennett	Defender	England	19
Bernardo Silva	Midfielder	Portugal	19
Craig Bryson	Midfielder	Scotland	19
Gary Cahill	Defender	England	19
Ciaran Clark	Defender	Ireland	19
Seamus Coleman	Defender	Ireland	19
Aaron Cresswell	Defender	England	19
Steven Defour	Midfielder	Belgium	19
Mousa Dembélé	Midfielder	Belgium	19
Barry Douglas	Defender	Scotland	19
Fraser Forster	Goalkeeper	England	19
Simon Francis	Defender	England	19
Sam Gallagher	Forward	England	19
Vicente Guaita	Goalkeeper	Spain	19
Shaun Hobson	Defender	England	19
Jordon Ibe	Midfielder	England	19
Jorginho	Midfielder	Italy	19
Harry Kane	Forward	England	19
Harry Lewis	Goalkeeper	England	19
Levi Lumeka	Forward	England	19
Niki Mäenpää	Goalkeeper	Finland	19
Moses Makasi	Midfielder	England	19
Ales Mateju	Defender	Czech Republic	19
Rabbi Matondo	Forward	Wales	19
Alfie Mawson	Defender	England	19
Allan McGregor	Goalkeeper	Scotland	19
Mikel Merino	Midfielder	Spain	19
Nacho Monreal	Defender	Spain	19
Stuart O'Keefe	Midfielder	England	19
Prince Oniangué	Midfielder	Congo	19
Sebastian Prödl	Defender	Austria	19
Ricardo Pereira	Defender	Portugal	19
Joel Robles	Goalkeeper	Spain	19
Martin Samuelsen	Midfielder	Norway	19
André Schürrle	Midfielder	Germany	19
Matz Sels	Goalkeeper	Belgium	19
Steve Sidwell	Midfielder	England	19
Moussa Sissoko	Midfielder	France	19
Robert Snodgrass	Midfielder	Scotland	19
Steven Sessegnon	Midfielder	England	19
Markus Suttner	Defender	Austria	19
George Thomas	Forward	Wales	19
Youri Tielemans	Midfielder	Belgium	19
Andros Townsend	Midfielder	England	19
Theo Walcott	Forward	England	19
Callum Wilson	Forward	England	19
Ben Woodburn	Forward	Wales	19
DeAndre Yedlin	Defender	United States	19
Miguel Almirón	Midfielder	Paraguay	18
Nordin Amrabat	Forward	Morocco	18
Christian Atsu	Midfielder	Ghana	18
Charlie Austin	Forward	England	18
Leandro Bacuna	Midfielder	Curacao	18
Antonio Barreca	Defender	Italy	18
Adrián Bernabé	Midfielder	Spain	18
